,Produto,Preço Base,Preço Final
87,Desinfetante Classic Floral Embalagem 2 Litros,6.45,4.99
88,Limpador Multiuso Classic Tradicional 500Ml,3.35,3.35
89,Limpador Mr Músculo Cozinha Oferta Embalagem 500Ml,11.59,11.59
90,Limpador Uau Multiuso Folhas Verdes Embalagem 500Ml,4.39,3.69
91,Desinfetante Bak Ypê Eucalipto Embalagem 1 Litro,7.29,7.29
92,Limpador Casa Km Removedor de Ceras Embalagem 1L,14.59,14.59
93,Pastilha Adesiva Limppano Inspira Marine Embalagem 3 Un,7.19,5.49
94,Cera Líquida Ingleza Maxx Amarela Embalagem 750Ml,14.99,14.99
95,Limpador Limpeza Pesada 4 em 1 Alta Performance Uau 500Ml,5.99,5.99
96,Cera Ingleza Ardosia Incolor Embalagem 750Ml,11.79,11.79
97,Óleo de Peroba Lavanda 100Ml,10.99,10.99
98,Limpador Perfumado Jardim Secreto Ypê Embalagem 1L,11.39,11.39
99,Desinfetante Classic Lavanda Embalagem 2 Litros,6.45,4.99
100,Desinfetante Batuta Eucalipto Embalagem 2L,8.59,8.59
101,Limpador Multiuso Classic Floral 500Ml,3.35,3.35
102,Limpa Forno Easy Off 250Ml,19.99,19.99
103,Pedra Sanitária Flores do Campo Glade,4.09,4.09
104,Limpa Vidros Uau Refil 500Ml,11.99,11.99
105,Cera em Pasta Ingleza Lavanda Amarela Lata 400G,41.9,41.9
106,Desinfetante Pinho Ypê Tradição 500Ml,6.89,6.89
107,Graxa para Sapato em Pasta Preta Nugget Lata 36G,16.59,16.59
108,Limpador Multiuso Classic Hortelã 500Ml,3.35,3.35
109,Desinfetante Uso Geral Ufe 750Ml,14.99,14.99
110,Pastilha Adesiva Lipex Floral Embalagem 2 Un,5.59,5.59
111,Limpador Multiuso Squeeze com Alcool Super Globo 500Ml,3.29,3.29
112,Desinfetante Classic Eucalipto Embalagem 2 Litros,6.45,4.99
113,Cera Líquida Brilhowax Vermelha 750Ml,10.99,10.99
114,Desinfetante Classic Capim Limão e Eucalipto 5 Litros,14.99,14.99
115,"Limpador Classic Limpa Porcelanato 1,5 Litro",14.45,14.45
116,Pedra Sanitária Santa Clara Floral Unidade 25G,2.65,2.65
117,Pedra Sanitária Eucalipto Santa Clara Embalagem 25G,2.65,2.65
118,Soda Caustica Yara Embalagem 1Kg,17.9,17.9
119,Limpador Perfumado Classic Suave Harmonia 1 Litro,6.25,6.25
120,Óleo de Peroba King Lavanda 200Ml,16.99,16.99
121,Limpador Multiuso Cloro Ativo 5 em 1 Super Globo 500Ml,4.89,4.89
122,Limpador Multiuso Super Globo Campestre 500Ml,3.29,3.29
123,Limpador Perfumado Casa e Perfume Intuizione Embalagem 500Ml,4.99,4.99
124,Limpador Perfumado Classic Requinte 1 Litro,6.25,6.25
125,Limpador Uau Ciclone Limpeza Pesada com Cloro Ativo 500Ml,6.59,6.59
126,Desinfetante Original Pinho Sol 500Ml,9.9,9.9
127,Eliminador de Odores Multiuso Hortelã Uau 500Ml,4.39,3.69
128,Pastilha Adesiva Inspira Lavanda Embalagem Leve 4 Un Pague 3 Un,7.19,5.49
129,Bom Ar Air Wick Limão Siciliano e Baunilha Aerosol 360Ml,12.99,12.99
130,Pastilha Adesiva Lipex Ocean Embalagem 2 Un,5.59,5.59
131,Neutralizador de Odores Jardim de Pêonia Bom Ar Frasco 360Ml Embalagem Econômica,12.99,12.99
132,Bom Ar Air Wick Campos de Lavanda 360Ml,12.99,12.99
133,Neutralizador de Odores Flor de Algodão Econômica Bom Ar Air Wick 360Ml,12.99,12.99
134,Pastilha Sanitária Adesiva Inspira Fresh Embalagem Leve 4Un Pague 3Un,7.19,5.49
135,Aromatizante Lipex Lavanda 140Ml,16.9,10.99
136,Essência de Eucalipto Ideal 100Ml,20.79,20.79
137,Aromatizante Lipex Capim Limão 140Ml,16.9,10.99
138,Detergente Ypê Clear 500Ml,2.89,2.29
139,Detergente Ypê Neutro 500Ml,2.89,2.29
140,Detergente Coco Ypê 500Ml,2.89,2.29
141,Detergente Limpol Coco 500Ml,2.55,2.55
142,Detergente Líquido Limpol Cristal Embalagem 500Ml,2.55,2.55
143,Detergente Ypê Limão 500Ml,2.89,2.29
144,Detergente Ypê Capim Limão 500Ml,2.89,2.29
145,Detergente Líquido Neutro Limpol 500Ml,2.55,2.55
146,Detergente Limpol Maçã 500Ml,2.55,2.55
147,Detergente Líquido Classic Neutro 500Ml,2.19,2.19
148,Detergente Limpol Limão 500Ml,2.55,2.55
149,Detergente Líquido Maçã Ypê 500Ml,2.89,2.29
150,Detergente Classic Maçã 500Ml,2.19,2.19
151,Limpa Alumínio em Pasta Alumil Start 500G,11.45,11.45
152,Detergente Líquido Classic Clear 500Ml,2.19,2.19
153,Pasta Multiuso Cristal Rosa 500G,6.59,6.59
154,Sabão em Pasta Assolan Neutro 500G,10.99,10.99
155,K-Othrine Sc 25 Bayer 30Ml,11.39,11.39
156,Inseticida Sbp Aerosol Eucalipto 450Ml,16.9,16.9
157,Inseticida Raid Acqua Protec Aerosol 420Ml,13.9,13.9
158,"Repelente Elétrico Liquido 45 Noites Aparelho e Refil Original Raid 32,9M",13.59,13.59
159,Inseticida Raid Multi Insetos Citronela Oferta 420Ml,13.9,13.9
160,Repelente Elétrico Raid Líquido Oferta Refil 2Un,20.29,20.29
161,Sbp Multi Inseticida Aerossol Leve+ Pague- 450Ml,16.9,16.9
162,Inseticida Raid Multi Insetos Eucalipto Oferta 420Ml,13.9,13.9
163,Inseticida Aerosol Ação Total Óleo de Eucalipto Baygon 360Ml,13.99,13.99
164,Sbp Multi Inseticida Aerossol Óleo de Citronela Leve+ Pague- 450Ml,16.9,16.9
165,Sbp Repelente Elétrico Líquido 45 Noites Refil 35Ml,13.99,13.99
166,Sbp Repelente Elétrico Líquido 45 Noites Citronela Refil 1 Unidade 35Ml,13.99,13.99
167,Inseticida Baygon Ação Total Aerosol 300Ml,13.99,13.99
168,Lava-Roupas Pó Lavagem Perfeita Omo 800G,17.99,17.99
169,Amaciante Downy Brisa do Verão 500Ml,12.38,12.38
170,Sabao Glic Ype Neutro 900G,13.88,13.88
171,Cloro Santa Clara Super Forte Unidade 2L,8.19,8.19
172,"Lava-Roupas Pó Omo Lavagem Perfeita Caixa 2,2Kg Tamanho Família",34.99,27.8
173,"Amaciante Azul Aconchego Ypê Leve 2L Pague 1,6L",10.19,10.19
174,"Amaciante Ypê Intenso Leve 2L Pague 1,6L",10.19,10.19
175,Amaciante Ypê Aconchego 2L,12.99,12.99
176,Amaciante Comfort Tradicional Explosao Azul 1.8L,20.99,20.99
177,Sabão em Pó Classic Plus 1Kg,6.59,6.59
178,Lava-Roupas Pó Puro Cuidado Omo 800G,17.99,17.99
179,Amaciante Ypê Intenso Embalagem 2L,12.99,12.99
180,Lava Roupas Líquido Tixan Ypê Oferta 3L,44.6,44.6
181,"Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 1,6Kg",24.9,24.9
182,"Lava-Roupas Pó Omo Lavagem Perfeita Pacote 2,4Kg Tamanho Família",31.59,31.59
183,Amaciante Concentrado Comfort Intense Cuidado Essencial 1L,21.99,21.99
184,Amaciante para Roupinhas de Bebê Vida Macia Camomila 500Ml,4.99,4.99
185,Passa Fácil Casa Facilitador para Passar Roupas Downy 500Ml,20.99,20.99
186,Amaciante para Roupinhas de Bebê Vida Macia Camomila Embalagem 1L,9.59,9.59
187,Sabão em Barra Glicerinado Neutro Ypê 180G,4.25,4.25
188,Amaciante para Roupinhas de Bebê Vida Macia Amêndoas Embalagem 1Lt,9.59,9.59
189,Amaciante Concentrado Comfort Intense Puro Cuidado 500Ml,11.98,11.98
190,Detergente Líquido Lava Roupas Ariel Refil Cores Radiante 700Ml,14.39,14.39
191,Amaciante de Roupa Concentrado Brisa Intenso Downy 500Ml,12.38,12.38
192,Tira Manchas Gel Vanish Crystal White sem Cloro Refil 500Ml,11.99,11.99
193,Amaciante Ypê Delicado 2L,12.99,12.99
194,Amaciante Concentrado Comfort Expert Care Fiber Protect 1L,21.99,21.99
195,Sabão Líquido Uau Active Embalagem 3L,25.75,25.75
196,Amaciante Uau Glamour 2 Litros,9.49,9.49
197,Amaciante Concentrado Comfort Cuidado Intensivo Hydra Sérum 1L,21.99,21.99
198,Amaciante Concentrado Downy Sensitive Hipoalergênico 450Ml,12.38,12.38
199,Alvejante Ypê Flores da Primavera 2L,12.99,12.99
200,Amaciante Concentrado Downy Frescor da Primavera Embalagem 500Ml,12.38,12.38
201,Lava Roupas Liquido Brilhante Delicadeza Total 3L Côco,41.99,41.99
202,Amaciante para Roupas de Bebê Vida Macia Amêndoas Embalagem 500Ml,4.99,4.99
203,Lava-Roupas Pó Omo Lavagem Perfeita Sanitiza & Higieniza Caixa 800G,15.99,15.99
204,"Sabão em Pó Ypê Power Act 2,4Kg",35.9,35.9
205,Tira Manchas Vanish Super Barra 75G,8.45,8.45
206,Sabão Líquido Surf 5Em1 Lavanda 3L,30.99,30.99
207,Cloro Santa Clara Super Forte Embalagem 1 Litro,4.39,4.39
208,Amaciante de Roupa Concentrado Fiber Protect Comfort Cuidado Intensivo Frasco 500Ml,11.98,11.98
209,Amaciante Baby Soft Toque Envolvente 2L,8.29,6.89
210,Amaciante Ypê Aconchego 500Ml,4.19,4.19
211,"Amaciante Roupa Ypê Ternura Rosa 2L Pague 1,6L",10.19,10.19
212,Amaciante de Roupa Concentrado Collection Místico Downy 450Ml,12.38,12.38
213,Lava-Roupas Líquido Ypê Power Act Refil 1L,17.45,17.45
214,Amaciante Toque de Poesia Luxo Amacitel 2L,8.29,8.29
215,Sabão em Pó de Coco Klip 500G,5.19,5.19
216,Amaciante Concentrado Downy Adorável Premium 450Ml,12.38,12.38
217,Amaciante Downy Concentrado Perfume Collection Paixão 1350Ml,29.99,29.99
218,Amaciante Downy Sport 900Ml,24.69,24.69
219,Amaciante Uau Sedução 2 Litros,9.49,9.49
220,"Lava Roupas Ariel Refil 1,5L",29.99,29.99
221,Amaciante de Roupa Diluído Toque de Carinho Baby Soft 2L,8.29,6.89
222,Amaciante Concentrado Ypê Blue 500Ml,11.29,11.29
