,Produtos,Precos
2461,MISTURA PARA BOLO VILMA BAUNILHA 400G,"R$4,28"
2462,BISCOITO MARILAN PIT STOP 162G,"R$3,98"
2463,CHA LEAO 10G HORT,"R$3,78"
2464,FARINHA DE MILHO ARARAS 500G,"R$4,49"
2465,PIPOCA KERUS 80G,"R$2,18"
2466,BISCOITO RANCHEIRO ROSQUINHA COCO 600G,"R$5,99"
2467,BOLO SEVEN BOYS 250G CHOC,"R$10,99"
